schedule,real_time,n_threads
static,9.607,1
static,9.572,1
static,9.730,1
static,9.591,1
static,9.527,1
static,9.511,1
static,9.585,1
static,9.564,1
static,9.730,1
static,9.621,1
dynamic,9.696,1
dynamic,9.695,1
dynamic,9.763,1
dynamic,9.620,1
dynamic,9.649,1
dynamic,9.686,1
dynamic,9.595,1
dynamic,9.759,1
dynamic,9.756,1
dynamic,9.706,1
guided,9.549,1
guided,9.616,1
guided,9.517,1
guided,9.518,1
guided,9.600,1
guided,9.600,1
guided,9.662,1
guided,9.731,1
guided,9.414,1
guided,10.083,1
static,5.960,2
static,5.863,2
static,5.934,2
static,5.915,2
static,5.855,2
static,5.795,2
static,5.859,2
static,5.858,2
static,5.900,2
static,5.867,2
dynamic,5.895,2
dynamic,5.985,2
dynamic,5.951,2
dynamic,6.184,2
dynamic,5.920,2
dynamic,5.919,2
dynamic,5.820,2
dynamic,5.885,2
dynamic,5.853,2
dynamic,5.830,2
guided,5.077,2
guided,5.059,2
guided,4.900,2
guided,4.982,2
guided,5.033,2
guided,5.303,2
guided,5.174,2
guided,5.223,2
guided,4.949,2
guided,5.029,2
static,3.662,4
static,3.680,4
static,3.634,4
static,3.648,4
static,3.684,4
static,3.754,4
static,3.665,4
static,3.642,4
static,3.644,4
static,3.621,4
dynamic,3.552,4
dynamic,3.571,4
dynamic,3.594,4
dynamic,3.666,4
dynamic,3.564,4
dynamic,3.712,4
dynamic,3.447,4
dynamic,3.526,4
dynamic,3.577,4
dynamic,3.954,4
guided,2.797,4
guided,2.697,4
guided,2.989,4
guided,2.557,4
guided,2.510,4
guided,2.604,4
guided,2.559,4
guided,2.540,4
guided,2.561,4
guided,2.654,4
static,4.080,8
static,4.244,8
static,3.972,8
static,4.056,8
static,4.010,8
static,3.986,8
static,3.987,8
static,4.115,8
static,3.893,8
static,4.054,8
dynamic,4.020,8
dynamic,3.959,8
dynamic,3.770,8
dynamic,3.990,8
dynamic,3.624,8
dynamic,3.988,8
dynamic,3.837,8
dynamic,3.957,8
dynamic,3.980,8
dynamic,4.005,8
guided,2.482,8
guided,2.571,8
guided,2.533,8
guided,2.592,8
guided,2.340,8
guided,2.333,8
guided,2.752,8
guided,2.650,8
guided,2.953,8
guided,2.705,8
static,3.547,16
static,3.504,16
static,3.799,16
static,3.798,16
static,3.760,16
static,3.645,16
static,3.469,16
static,3.676,16
static,3.673,16
static,3.696,16
dynamic,3.977,16
dynamic,4.000,16
dynamic,3.942,16
dynamic,3.835,16
dynamic,3.868,16
dynamic,4.509,16
dynamic,4.421,16
dynamic,4.392,16
dynamic,3.950,16
dynamic,3.971,16
guided,2.691,16
guided,2.599,16
guided,2.622,16
guided,2.622,16
guided,2.615,16
guided,2.601,16
guided,2.663,16
guided,2.702,16
guided,2.595,16
guided,2.583,16
